key,label,category,scale,note,node
GTOING,Razón entre gastos e ingresos propios,ratio,linear,¿Cuánto dólares se gastan por cada dólar que una alcaldía recibe como ingresos propios?,
INVGTO,Razón entre inversión y gastos,ratio,linear,¿Cuántos dólares se invierten por cada dólar que una alcaldía gasta,
DEUING,Razón entre deuda e ingresos propios,ratio,linear,,¿Cuántos dólares se deben por cada dólar que una alcaldía recibe como ingresos propios? ¿En cuántos años se liquidarán las deudas si todos los ingresos propios se usarán para pagarlas?
DEPTRF,Dependencia de las transferencias,ratio,linear,¿Qué proporción de las transferencias que recibe una alcaldía se usan para cubrir los gastos y las inversiones?,
DEPDEU,Dependencia del endeudamiento,ratio,linear,¿Qué proporción de las deudas que se consiguen en el año se usan para cubrir los gastos y las inversiones?,
INGPRP,Ingresos propios (USD),revenue,log,"Cuánto dinero recibe la alcaldía en concepto de impuestos, tasas y otros ingresos propios?",
ICTESP,Ingresos por contribuciones especiales (USD),revenue,log,¿Qué cantidad de los ingresos tienen un destino predeterminado?,
TRFREC,Transferencias recibidas (USD),revenue,log,¿Cuánto recibe la alcaldía de transferencias del gobierno central y de otras fuentes?,
INGDEU,Endeudamiento (USD),revenue,log,¿Cuál es el monto de la deuda contratada por una alcaldía en el año?,
GASTOS,Gastos (USD),expenses,log,"¿Cuánto destina una alcaldía para el pago de salarios, adquirir bienes y servicios y atender otros gastos?",
INVERS,Inversiones (USD),expenses,log,¿Cuánto destina una alcaldía para la construcción de obras y el financiamiento de otros proyectos de inversión?,
AMTDEU,Amortización de deudas (USD),expenses,log,¿Qué cantidad destina una alcaldía en un año para abonar capital a sus deudas?,
EGROTR,Otros egresos (USD),expenses,log,¿Qué cantidad usa una alcadlía para atender otros egresos?,
FDINVF,Fondos e inversiones financieras (USD),assets,log,,
EXISBU,Existencias y bienes de uso (USD),assets,log,,
INVPRY,Inversiones en proyectos (USD),assets,log,,
RECOTR,Otros recursos (USD),assets,log,,
OBLGCP,Obligaciones de corto plazo (USD),obligations,log,,
OBLGLP,Obligciones de largo plazo (USD),obligations,log,,
INGPRP_per,Ingresos propios (USD/habitante),revenue,log,,
ICTESP_per,Ingresos por contribuciones especiales (USD/habitante),revenue,log,,
TRFREC_per,Transferencias recibidas (USD/habitante),revenue,log,,
INGDEU_per,Endeudamiento (USD/habitante),revenue,log,,
GASTOS_per,Gastos (USD/habitante),expenses,log,,
INVERS_per,Inversiones (USD/habitante),expenses,log,,
AMTDEU_per,Amortización de deudas (USD/habitante),expenses,log,,
EGROTR_per,Otros egresos (USD/habitante),expenses,log,,
FDINVF_per,Fondos e inversiones financieras (USD/habitante),assets,log,,
EXISBU_per,Existencias y bienes de uso (USD/habitante),assets,log,,
INVPRY_per,Inversiones en proyectos (USD/habitante),assets,log,,
RECOTR_per,Otros recursos (USD/habitante),assets,log,,
OBLGCP_per,Obligaciones de corto plazo (USD/habitante),obligations,log,,
OBLGLP_per,Obligciones de largo plazo (USD/habitante),obligations,log,,
